단어,빈도수
경포호,53
걱정,53
외부,52
아트,52
사우나,52
사장,52
오시,52
특징,52
대게,52
제한,52
양쪽,52
지원,52
신흥사,52
운행,51
가슴,51
유리,51
새우,51
굴,51
해설,51
전시관,51
알펜시아,51
아이스크림,51
아마,51
시골,50
민속,50
바닥,50
호떡,50
김유정,50
옛날,50
모노레일,50
나중,50
개발,50
놀이기구,50
아들,50
타조,49
치악산,49
단위,49
가세,49
조성,49
지정,49
상상,49
여러가지,49
오전,49
카드,49
닭고기,49
음료,48
통과,48
수가,48
지엄,48
축음기,48
동쪽,48
탑승,48
탑,48
태백,48
입,47
허브,47
전경,47
해당,47
조선,47
지도,47
짚라인,47
치기,47
타지,47
착용,47
표,47
신사임당,47
애호가,47
상원사,47
셔틀버스,47
접근,46
지점,46
지하,46
머리,46
소양호,46
각종,46
엑스포,46
전문,46
선대,45
합리,45
한국어,45
경사,45
부처님,45
매일,45
광경,45
금정,45
고도,45
경계,45
상대,45
애비뉴,45
표시,45
스노우,45
무성,45
강추,44
영월,44
옵션,44
손님,44
종,44
요트,44
좌석,44
군사,44
석탄,44
상업,44
짚,44
남아,44
개방,44
속초시,44
철원,43
체크,43
스파,43
참조,43
망원경,43
초원,43
구역,43
춘천시,43
숍,43
안목,43
참여,43
종이,43
강원,43
도달,43
명승,43
설치,43
운치,43
밖,43
에디슨,43
색깔,43
프로그램,43
겨울철,42
주문,42
안전,42
닭,42
한잔,42
명의,42
지불,42
요즘,42
노란색,42
장원,42
패키지,42
노인,42
온도,42
내리막,42
이자,42
만족,42
모래사장,42
충격,42
이면,42
여행객,41
슬로프,41
작업,41
기간,41
동화,41
막국수,41
주택,41
국수,41
효과,41
단종,41
촌,41
사,40
선물,40
보드,40
상황,40
고속,40
힘,40
캠핑,40
감,40
전시회,40
오기,40
구름,40
공사,40
사전,39
총,39
수단,39
삼나무,39
팁,39
상의,39
편의,39
노력,39
부모님,39
암석,39
소나타,39
부두,39
호선,39
발전,39
고려,39
위안,39
월드,39
주인,39
전화,38
조형,38
아기,38
하이라이트,38
박경리,38
트레킹,38
휴일,38
해수욕,38
난,38
놀이터,38
속도,38
잔디밭,38
설경,38
연꽃,38
하룻밤,38
동시,38
동명,38
보물,37
유산,37
슈퍼,37
골프,37
모험,37
수질,37
중지,37
특성,37
일정,37
조각품,37
동반,37
미술,37
매표소,37
고향,37
태백산,37
반대편,37
대비,37
사서,37
댐,37
안개,37
열,37
안보,37
야간,36
도자기,36
주기,36
이효석,36
광,36
산들,36
건설,36
관음,36
낙산,36
밸리,36
공화국,36
단계,36
건어물,36
포인트,36
코치,36
세트,36
상태,36
중심,36
갤러리,36
적극,36
청동,36
천국,36
제주도,36
그늘,35
종유석,35
전설,35
입장권,35
온라인,35
농장,35
가능,35
남자,35
건축물,35
오션월드,35
형태,35
오르막,35
구간,35
오늘,35
비발디,35
산책길,35
청초,35
부처,34
강력,34
주소,34
감탄,34
도심,34
안쪽,34
혼잡,34
모자,34
개최,34
하우스,34
해돋이,34
오른쪽,34
피로,34
찾기,34
품질,34
목욕,34
테디베어,33
모래시계,33
묵호항,33
고급,33
살짝,33
유원지,33
휴양림,33
상징,33
국적,33
소,33
전형,33
별도,33
율곡,33
주제,33
주인공,33
책,33
학생,33
체력,33
쉬,33
로프,33
정신,33
정리,33
수행,33
의상대,33
수산시장,33
오크,33
산속,33
산림,33
킬로미터,33
밥,33
만끽,33
오징어순대,32
탄광,32
보시,32
양식,32
얼굴,32
진행,32
선교장,32
수산물,32
남한,32
기능,32
아쉬움,32
아바이순대,32
백담사,32
카메라,32
제품,32
눈길,32
초당,32
반나절,32
순간,32
새해,32
휴양지,32
해양,32
현장,31
향기,31
영역,31
올해,31
자료,31
여권,31
그녀,31
어머니,31
게임,31
노천,31
재생,31
편도,31
알파카,31
군인,31
회사,31
무리,31
마주,31
생가,31
사고,31
결정,31
상,31
대중,31
선사,30
김치,30
용평,30
삼양,30
피크닉,30
유람선,30
영화관,30
여성,30
과정,30
의자,30
썰매,30
시절,30
남녀,30
페달,30
나이,30
수집,30
수상,30
쇼,30
엄마,30
패스,30
상품,30
마련,30
군중,30
전용,30
잠수함,30
인간,30
포트,30
해발,30
동계,30
만화,30
한지,29
플랫폼,29
화천,29
피닉스,29
유적지,29
한참,29
장호항,29
자원,29
아빠,29
아내,29
비룡,29
여행지,29
빵,29
쁘띠,29
특색,29
조화,29
수목원,29
소원,29
한여름,29
조대,29
값,29
천연,29
인지,29
욕,29
유수풀,29
목초지,29
왼쪽,29
우유,29
차비,29
유아,29
방파제,29
천진,29
인형,29
오지,29
오션,29
최초,29
석탑,29
도전,29
고민,29
덕분,29
학교,29
정취,28
리뷰,28
참전,28
뻥,28
소양강,28
광장,28
만하,28
숨,28
유령,28
전시품,28
탐험,28
자녀,28
아시아,28
부산,28
환선굴,28
전국,28
방문자,28
목욕탕,28
변화,28
한강,28
관광명소,28
김,28
포토,28
서로,28
성전,27
년대,27
공항,27
파도풀,27
접근성,27
거품,27
씨앗,27
편의점,27
와이어,27
완만,27
스릴,27
유적,27
땀,27
어쨌든,27
슈,27
정비,27
선생,27
목,27
아웃,27
겨울연가,27
유료,27
컬렉션,27
작년,27
남편,27
불어,27
길가,27
피크,27
벤치,27
번잡,27
중국인,27
이도,26
스노클링,26
블루,26
방식,26
빨간색,26
정동진역,26
건강,26
다운,26
아파트,26
두운,26
연주,26
신청,26
울창,26
개장,26
검색,26
쌀,26
여가,26
고성,26
평소,26
유모차,26
추위,26
홍천,26
티비,26
부담,26
아름,26
멋,26
여기저기,26
쿨링,26
나머지,26
국제,26
발원,25
태도,25
예상,25
종합,25
선착장,25
감정,25
종료,25
황금,25
초입,25
표지판,25
지식,25
여정,25
펜션,25
연령,25
대중교통,25
라벤더,25
웹,25
밑,25
경기도,25
고객,25
매점,25
티,25
특산,25
이벤트,25
인터넷,25
고택,25
천수,25
고요,25
미니,25
기기,25
산행,25
숙박시설,25
광고,25
사방,25
영향,24
커피숍,24
곤돌라,24
가옥,24
건너편,24
젊은이,24
제안,24
설계,24
양은,24
전적,24
콘도,24
조선시대,24
여자,24
메인,24
영업,24
사항,24
번은,24
교외,24
래프팅,24
열정,24
지방,24
율곡이이,24
새벽,24
상이,24
찜질방,24
방송,24
초기,24
샤워,24
해안가,24
땅굴,24
년전,24
수십,24
언급,24
평균,24
강변,24
전시장,24
길거리,24
철판,24
재,24
대규모,24
감사,23
동네,23
노선,23
포켓몬,23
적합,23
재료,23
분단,23
캠핑장,23
감각,23
안뜰,23
고기,23
구룡사,23
탄산,23
눈사람,23
관계,23
재현,23
유배,23
소비,23
빌라,23
와우,23
통제,23
특별,23
펀치,23
밭,23
바가지,23
지폐,23
등장,23
위쪽,23
팀,23
임대,23
오색,23
산악,23
토끼,23
명물,23
파란색,23
답,23
가장자리,23
인물,23
표현,23
소설,23
낙동강,23
자유,23
며칠,23
짐,23
전기,22
횡성,22
고석정,22
브랜드,22
청량리,22
캐릭터,22
하차,22
얼마,22
가운데,22
대청봉,22
녹지,22
송어,22
더위,22
이틀,22
보람,22
승려,22
오픈,22
시민,22
긴장,22
실행,22
추적,22
최소,22
흥정,22
희귀,22
표준,22
신흥,22
최적,22
장,22
공부,22
카운터,22
산업,22
신고,22
무조건,21
매료,21
액세스,21
이지,21
집도,21
오리,21
복원,21
물회,21
요새,21
화재,21
카누,21
목적,21
에티오피아,21
행복,21
호객,21
피노키오,21
맥주,21
행위,21
금지,21
로맨스,21
깊이,21
판,21
활,21
제법,21
수프,21
식혜,21
시티,21
절약,21
존재,21
조개,21
신라,21
떡,21
국,21
산길,21
스트레스,21
지대,20
민속촌,20
벽화,20
일요일,20
트레인,20
쓰레기,20
생산,20
특정,20
산사,20
눈밭,20
상품권,20
루트,20
지구,20
바다색,20
무한,20
마크,20
튜브,20
군,20
홍보,20
통일전망대,20
금강산,20
텐트,20
정돈,20
외관,20
외국,20
강의,20
족욕,20
출구,20
건초,20
낙엽,20
피부,20
용선,20
경춘선,20
백로,20
무릉,20
어촌,20
